name,team,position,AB,H,doubles,triples,HR,AVG,OBP
" Betts, M",BOS,RF,520,180,47,5,32,0.346,0.438
" Martinez, J",BOS,LF,569,188,37,2,43,0.33,0.402
" McNeil, J",NYM,2B,225,74,11,6,3,0.329,0.381
" Yelich, C",MIL,LF,574,187,34,7,36,0.326,0.402
" Voit, L",NYY,1B,143,46,5,0,15,0.322,0.398
" Altuve, J",HOU,2B,534,169,29,2,13,0.316,0.386
" Turner, J",LAD,3B,365,114,31,1,14,0.312,0.406
" Trout, M",LAA,CF,471,147,24,4,39,0.312,0.46
" Diaz, Y",CLE,3B,109,34,5,2,1,0.312,0.375
" Gennett, S",CIN,2B,584,181,30,3,23,0.31,0.357
" Freeman, F",ATL,1B,618,191,44,4,23,0.309,0.388
" Brantley, M",CLE,LF,570,176,36,2,17,0.309,0.364
" Rendon, A",WSH,3B,529,163,44,2,24,0.308,0.374
" Cain, L",MIL,CF,539,166,25,2,10,0.308,0.395
" Ramos, W",PHI,C,382,117,22,1,15,0.306,0.358
" Zobrist, B",CHC,2B,455,139,28,3,9,0.305,0.378
" Martinez, J",STL,1B,534,163,30,0,17,0.305,0.364
" Merrifield, W",KC,2B,632,192,43,3,12,0.304,0.367
" Segura, J",SEA,SS,586,178,29,3,10,0.304,0.341
" Cano, R",SEA,2B,310,94,22,0,10,0.303,0.374
" Kendrick, H",WSH,2B,152,46,14,0,4,0.303,0.331
" Eaton, A",WSH,RF,319,96,18,1,5,0.301,0.394
" Wendle, J",TB,2B,487,146,33,6,7,0.3,0.354
" Dickerson, C",PIT,LF,504,151,35,7,13,0.3,0.33
" Winker, J",CIN,RF,281,84,16,0,7,0.299,0.405
" Murphy, D",CHC,2B,328,98,15,0,12,0.299,0.336
" Cabrera, M",DET,1B,134,40,11,0,3,0.299,0.395
" Castellanos, N",DET,RF,620,185,46,5,23,0.298,0.354
" Machado, M",LAD,SS,632,188,35,3,37,0.297,0.367
" Markakis, N",ATL,RF,623,185,43,2,14,0.297,0.366
" Andujar, M",NYY,3B,573,170,47,2,27,0.297,0.328
" Arenado, N",COL,3B,590,175,38,2,38,0.297,0.374
" Freese, D",LAD,3B,280,83,12,2,11,0.296,0.359
" Martini, N",OAK,LF,152,45,9,3,1,0.296,0.397
" Smith, M",TB,CF,480,142,27,10,2,0.296,0.367
" Duffy, M",TB,3B,503,148,22,1,4,0.294,0.361
" Acuna Jr., R",ATL,LF,433,127,26,4,26,0.293,0.366
" Casali, C",CIN,C,140,41,10,0,4,0.293,0.355
" Peralta, D",ARI,LF,560,164,25,5,30,0.293,0.352
" Williams, M",CIN,RF,123,36,5,1,2,0.293,0.331
" Simmons, A",LAA,SS,554,162,26,5,11,0.292,0.337
" Smith, K",LAA,C,171,50,6,0,3,0.292,0.348
" Soto, J",WSH,LF,414,121,25,1,22,0.292,0.406
" Story, T",COL,SS,598,174,42,6,37,0.291,0.348
" Blackmon, C",COL,CF,626,182,31,7,29,0.291,0.358
" Gurriel, Y",HOU,1B,537,156,33,1,13,0.291,0.323
" Baez, J",CHC,2B,606,176,40,9,34,0.29,0.326
" Benintendi, A",BOS,LF,579,168,41,6,16,0.29,0.366
" Goldschmidt, P",ARI,1B,593,172,35,5,33,0.29,0.389
" Kemp, M",LAD,LF,462,134,25,0,21,0.29,0.338
" Bogaerts, X",BOS,SS,513,148,45,3,23,0.288,0.36
" Laureano, R",OAK,RF,156,45,12,1,5,0.288,0.358
" Polanco, J",MIN,SS,302,87,18,3,6,0.288,0.345
" Rosario, E",MIN,LF,559,161,31,2,24,0.288,0.323
" Peraza, J",CIN,SS,632,182,31,4,14,0.288,0.326
" Meadows, A",TB,CF,178,51,9,2,6,0.287,0.325
